month,cool_days,hot_days,demand,imports,exports,rig_count,supply,storage,wti_price,heating_oil,usd_rate,gas_price
2013-12,13.0,829.0,2920826.0,273181.0,117329.0,373.0,2177887.0,7255027.0,97.63,3.032,0.729946,4.24
2014-01,7.0,969.0,3204129.0,295356.0,134807.0,362.0,2198795.0,6288361.0,94.62,3.063,0.733745,4.71
2014-02,12.0,799.0,2741240.0,245422.0,138550.0,341.0,2033039.0,5560214.0,100.82,3.061,0.732758,6.0
2014-03,15.0,683.0,2557890.0,234189.0,149508.0,333.0,2267138.0,5207298.0,100.8,2.912,0.723119,4.9
2014-04,37.0,325.0,1961678.0,200669.0,121928.0,316.0,2247677.0,5423037.0,102.07,2.888,0.724346,4.66
2014-05,113.0,127.0,1810222.0,206657.0,114105.0,325.0,2310058.0,5900837.0,102.18,2.86,0.727923,4.58
2014-06,243.0,28.0,1745351.0,201655.0,119864.0,314.0,2247082.0,6363623.0,105.79,2.882,0.735334,4.59
2014-07,301.0,10.0,1881017.0,201176.0,127301.0,314.0,2371359.0,6761254.0,103.59,2.776,0.738214,4.05
2014-08,292.0,13.0,1933061.0,206554.0,115376.0,324.0,2384273.0,7134689.0,96.54,2.753,0.750279,3.91
2014-09,183.0,57.0,1809291.0,201622.0,119891.0,336.0,2306544.0,7556106.0,93.21,2.633,0.774853,3.92
2014-10,74.0,221.0,1912810.0,220858.0,115069.0,331.0,2407070.0,7954588.0,84.4,2.424,0.789253,3.78
2014-11,11.0,614.0,2357521.0,227485.0,120861.0,351.0,2314517.0,7794338.0,75.79,2.249,0.801646,4.12
2014-12,10.0,705.0,2679165.0,253736.0,136982.0,342.0,2410202.0,7506012.0,59.29,1.856,0.811697,3.48
2015-01,9.0,890.0,3114982.0,279397.0,144522.0,320.0,2420352.0,6775582.0,47.22,1.616,0.861615,2.99
2015-02,7.0,867.0,2925172.0,254230.0,144955.0,296.0,2196987.0,6033940.0,50.58,1.873,0.881076,2.87
2015-03,29.0,584.0,2591329.0,257274.0,163967.0,250.0,2443119.0,5840840.0,47.82,1.632,0.923383,2.83
2015-04,53.0,300.0,2007922.0,205120.0,130328.0,222.0,2398440.0,6162227.0,54.45,1.722,0.92545,2.61
2015-05,126.0,119.0,1858149.0,204348.0,134274.0,223.0,2442713.0,6658247.0,59.27,1.832,0.895522,2.85
2015-06,255.0,24.0,1899906.0,206273.0,138179.0,224.0,2358416.0,7021808.0,59.82,1.762,0.891106,2.78
2015-07,336.0,6.0,2067714.0,216973.0,143820.0,216.0,2444753.0,7304710.0,50.9,1.557,0.908471,2.84
2015-08,315.0,11.0,2052728.0,213875.0,144885.0,209.0,2447534.0,7614026.0,42.87,1.387,0.898781,2.77
2015-09,223.0,32.0,1901337.0,208818.0,162573.0,198.0,2383531.0,7987290.0,45.48,1.423,0.889836,2.66
2015-10,77.0,227.0,1987310.0,226286.0,158517.0,193.0,2445042.0,8316026.0,46.22,1.404,0.890691,2.34
2015-11,30.0,445.0,2249140.0,218242.0,155739.0,194.0,2356237.0,8303177.0,42.44,1.316,0.931522,2.09
2015-12,26.0,581.0,2588168.0,227257.0,161754.0,174.0,2434920.0,8038172.0,37.19,1.037,0.91807,1.93
2016-01,7.0,871.0,3091695.0,273600.0,168521.0,133.0,2435375.0,7307245.0,31.68,0.939,0.920897,2.28
2016-02,11.0,628.0,2652260.0,251775.0,162757.0,102.0,2310521.0,6903611.0,30.32,0.972,0.900873,1.99
2016-03,35.0,450.0,2356298.0,240764.0,194915.0,93.0,2441976.0,6846761.0,37.55,1.132,0.89946,1.73
2016-04,43.0,309.0,2083848.0,241317.0,177853.0,88.0,2361554.0,7009450.0,40.75,1.188,0.88188,1.92
2016-05,98.0,150.0,1965799.0,248317.0,188274.0,86.0,2412475.0,7332475.0,46.71,1.356,0.88437,1.92
2016-06,271.0,21.0,2000656.0,241885.0,183013.0,86.0,2312288.0,7554670.0,48.76,1.416,0.889375,2.59
2016-07,384.0,6.0,2186616.0,265022.0,188682.0,88.0,2408915.0,7686988.0,44.65,1.292,0.904111,2.82
